goal_id,work_area_id,side,x_ft,y_ft,yaw_deg,x_m,y_m,yaw_rad
R3T3A4_N,R3T3A4,north,77.5,46.0,90,23.622,14.021,1.5708
R3T4A1_S,R3T4A1,south,92.5,39.0,-90,28.194,11.887,-1.5708
R3T4A1_N,R3T4A1,north,92.5,46.0,90,28.194,14.021,1.5708
R3T4A2_S,R3T4A2,south,97.5,39.0,-90,29.718,11.887,-1.5708
R3T4A2_N,R3T4A2,north,97.5,46.0,90,29.718,14.021,1.5708
R3T4A3_S,R3T4A3,south,102.5,39.0,-90,31.242,11.887,-1.5708
R3T4A3_N,R3T4A3,north,102.5,46.0,90,31.242,14.021,1.5708
R3T4A4_S,R3T4A4,south,107.5,39.0,-90,32.766,11.887,-1.5708
R3T4A4_N,R3T4A4,north,107.5,46.0,90,32.766,14.021,1.5708
R3T5A1_S,R3T5A1,south,122.5,39.0,-90,37.338,11.887,-1.5708
R3T5A1_N,R3T5A1,north,122.5,46.0,90,37.338,14.021,1.5708
R3T5A2_S,R3T5A2,south,127.5,39.0,-90,38.862,11.887,-1.5708
R3T5A2_N,R3T5A2,north,127.5,46.0,90,38.862,14.021,1.5708
R3T5A3_S,R3T5A3,south,132.5,39.0,-90,40.386,11.887,-1.5708
R3T5A3_N,R3T5A3,north,132.5,46.0,90,40.386,14.021,1.5708
R3T5A4_S,R3T5A4,south,137.5,39.0,-90,41.910,11.887,-1.5708
R3T5A4_N,R3T5A4,north,137.5,46.0,90,41.910,14.021,1.5708
R4T1A1_S,R4T1A1,south,2.5,54.0,-90,0.762,16.459,-1.5708
R4T1A1_N,R4T1A1,north,2.5,61.0,90,0.762,18.593,1.5708
R4T1A2_S,R4T1A2,south,7.5,54.0,-90,2.286,16.459,-1.5708
R4T1A2_N,R4T1A2,north,7.5,61.0,90,2.286,18.593,1.5708
R4T1A3_S,R4T1A3,south,12.5,54.0,-90,3.810,16.459,-1.5708
R4T1A3_N,R4T1A3,north,12.5,61.0,90,3.810,18.593,1.5708
R4T1A4_S,R4T1A4,south,17.5,54.0,-90,5.334,16.459,-1.5708
R4T1A4_N,R4T1A4,north,17.5,61.0,90,5.334,18.593,1.5708
R4T2A1_S,R4T2A1,south,32.5,54.0,-90,9.906,16.459,-1.5708
R4T2A1_N,R4T2A1,north,32.5,61.0,90,9.906,18.593,1.5708
R4T2A2_S,R4T2A2,south,37.5,54.0,-90,11.430,16.459,-1.5708
R4T2A2_N,R4T2A2,north,37.5,61.0,90,11.430,18.593,1.5708
